# mass x y z vx vy vz ax ay az
1.000000000000000000e+00 4.996294755753607486e-01 4.462661697578996778e-01 1.816461226619582314e-01 6.712350686362432706e-01 6.027074392482673071e-01 8.015719358966644226e-01 2.464311712456904724e-01 5.205530681484877853e-01 7.492174087075633704e-01
1.000000000000000000e+00 3.755358438514984076e-01 3.887729923852150105e-01 7.425400844822430679e-01 2.396973665949629906e-01 2.109953254094371067e-01 8.999679326066357676e-01 3.759562540386085505e-01 6.249277647460413920e-01 8.813864750129594139e-01
1.000000000000000000e+00 7.199928240647832656e-01 8.517868985404717375e-01 8.948939960854752629e-01 7.809970348139387841e-01 5.567713829021769811e-02 3.430847668179508592e-01 8.848491196462693331e-02 1.611622013048034097e-01 1.521529983232706718e-01
1.000000000000000000e+00 3.274462423536428357e-02 5.400227215689492599e-01 4.909175583040018553e-01 5.520016167446216704e-01 4.663923469300149671e-01 4.304038285651305973e-01 2.723974480427864275e-01 7.689439232466146468e-01 3.866768979783600235e-01
1.000000000000000000e+00 4.180508795905875097e-01 3.531674854246529272e-01 2.934774589061265315e-01 1.754104379378657041e-01 3.106587931683478798e-01 8.251430255570462169e-01 7.013348910654656487e-01 4.847355773219914621e-01 9.189124847079043201e-01
1.000000000000000000e+00 7.231524208374972007e-01 1.112048327201287101e-02 6.983188423156336810e-01 9.283881993291765999e-01 7.502877492681476745e-01 8.526673020818520410e-01 4.869029837655336479e-02 6.115377862473762027e-01 5.168699874181551523e-01
1.000000000000000000e+00 2.090001902545747248e-01 6.173944288841768380e-01 9.222010821264942093e-01 4.455028735835254716e-01 7.591512006401508472e-01 8.633493053737821832e-01 9.271172027128975479e-01 1.521259757070063667e-01 3.797951038874420870e-01
1.000000000000000000e+00 6.939920361514619884e-01 7.320726667458036241e-01 9.254284401222709899e-01 9.435112392655750080e-01 8.313493929962504358e-01 5.517007726486160557e-01 4.518240181637003250e-01 1.556399440148381608e-01 3.750892782173459450e-01
1.000000000000000000e+00 1.645047242320282210e-01 3.673349010332243036e-01 7.655671919476516596e-01 6.320700068890251488e-01 5.679998900767868619e-03 5.873540438958090304e-01 2.181632995754742010e-01 7.188067738462806666e-01 7.660956716099429631e-01
1.000000000000000000e+00 2.740673340623172027e-01 8.026629554218300822e-01 4.794431860141941115e-01 9.459621137679351532e-01 1.517806344815858521e-01 8.934010718660830852e-01 9.692784634223582385e-01 9.701427587129273222e-01 4.370944214779257653e-01
1.000000000000000000e+00 2.344795869659221932e-01 2.121436712901340060e-01 8.453790766480205887e-01 6.385811096277772547e-01 1.223510119937138985e-01 8.008312059974577179e-01 8.296260939217183772e-01 8.284092528894437812e-01 7.239257225140224294e-01
1.000000000000000000e+00 8.313138000977571274e-02 5.700779830406693671e-01 5.315592795759157552e-01 6.371197582462231335e-01 6.939258233251541785e-01 4.792162765971579308e-01 2.406304198599579225e-01 2.371218875405682880e-01 5.213829685644598699e-01
1.000000000000000000e+00 7.732502630507218644e-01 9.587595010693851227e-01 8.471158378411592915e-01 3.795291299753994485e-01 3.405665187262529869e-02 3.961137675869869090e-01 7.618117448876444708e-01 5.402446599678890626e-01 6.023887376326231280e-02
1.000000000000000000e+00 5.687879044879282642e-01 6.645246713584352927e-01 8.092240161627055617e-01 6.865022016618979039e-01 1.470155572423434975e-01 5.040591935608844665e-01 7.527773445992864687e-01 6.308014286101373269e-01 9.079629105279628520e-01
1.000000000000000000e+00 7.197936247707864554e-01 5.234266580195470198e-01 1.773260376405852989e-01 2.629929913396688024e-01 5.749469941714151489e-01 1.003895552602418473e-01 9.204172827358737541e-01 2.217116814369761713e-01 1.924814496103451900e-01
1.000000000000000000e+00 6.074053040398041947e-02 7.824372353259347879e-01 5.859458246181392660e-01 1.250050563812681315e-01 7.564456206466979582e-01 3.339471717920271532e-01 2.393334817241644652e-01 6.379745978000056494e-01 7.756510543996484319e-01
1.000000000000000000e+00 7.947875645212930662e-01 9.505350735960103048e-01 2.902102207760549613e-01 3.534882155056130459e-01 1.680344700427033322e-01 4.930998411812728133e-01 9.202965277715137171e-01 9.181769438176291542e-01 8.341010503484702632e-02
1.000000000000000000e+00 5.856398804768002675e-01 8.577778436601434242e-01 5.815541375805522994e-01 6.169653532816089525e-01 7.569953712514753130e-01 5.807961963002328254e-01 9.084198130980816188e-01 9.510495342662325102e-01 3.396065961297559666e-01
1.000000000000000000e+00 4.219848089791451429e-01 1.133030833574018015e-01 4.234259598520505596e-01 8.996648184784827862e-01 9.848532739258981650e-01 4.370205034610546990e-01 9.776271269021753474e-01 4.638927519315216852e-02 1.339939070445053115e-01
1.000000000000000000e+00 7.565059403074316791e-01 1.100825749454653613e-01 8.806308917159029193e-01 3.333197500031934712e-01 3.722141235277565130e-02 9.940212637957193120e-01 6.254236649040489926e-02 4.408853825175853558e-01 3.876808246031647753e-01
1.000000000000000000e+00 9.162542125462515008e-01 7.184643496847841204e-01 9.383029359583571205e-01 4.054324171355406792e-01 5.602453510283352811e-01 7.581591186512496305e-01 6.095784397185121106e-01 5.121502185215858205e-01 7.934916269325873461e-01
1.000000000000000000e+00 3.722338020979898410e-01 2.463506282510352641e-03 4.194971207690312287e-02 3.857947954904226151e-01 2.945769067591547108e-01 6.984903665087879299e-01 3.599237574600632206e-01 3.634196082536668149e-01 9.139308692375600618e-01
1.000000000000000000e+00 8.838295280425388922e-01 2.442840109619529576e-01 4.493692594760037018e-01 3.490933407956448020e-01 6.232276921753646670e-01 5.826942909093892897e-01 7.596510814410897261e-01 8.646299650079534160e-01 9.366156281985972276e-01
1.000000000000000000e+00 9.490018500305118510e-01 5.862911543645975554e-01 1.591402074678951450e-01 4.324378043685933592e-01 2.978558896743916939e-01 2.598285633060811728e-01 1.133718779106721586e-01 1.356916570560824375e-01 7.779551613652107012e-01
1.000000000000000000e+00 5.231528024488496520e-02 8.389025868187253154e-01 7.181025611711173706e-01 4.941263613910125141e-01 2.920069878760339632e-01 1.349428760865422072e-01 7.482991217094060454e-01 2.562481716938120879e-01 4.731554664437453983e-02
