# Total Kinetic Energy: 25414.82529394883 J
# Total Potential Energy: -37137.84091392012 J
# Total Energy: -11723.015619971287 J
# mass x y z vx vy vz ax ay az
1.000000000000000056e-01 -1.383667319548976260e-01 -4.172139077591583423e-01 2.297059249457458763e-01 -1.440606239541257771e+00 -3.490746275365103624e-01 1.622173203985529000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -4.170435889814972374e-01 5.805431679573483938e-01 -6.974698481553192053e-01 1.046481167938670298e+00 -9.954528616368439886e-01 1.308879845566623734e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.486431646652465188e+00 6.723051142558832405e-01 7.214476171118178183e-01 -1.931283720908576695e+00 -7.855680741757471441e-01 -7.098859145460458819e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -6.369565319239524348e-02 -9.525872892171189932e-01 8.084508133330823298e-01 4.069433754596646913e-01 1.347290501069069224e+00 -1.367733102829299607e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 8.738828508962240837e-01 3.543172742031653333e-01 3.027062022949885689e-01 4.192845725922279776e+00 -2.558617363752644369e+00 1.228214613482145473e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 8.212734109652386483e-02 7.281664424106312206e-01 -6.200960738731242650e-01 -4.166112012395511988e-02 -1.494780860818135437e+00 1.694821263607755313e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -1.358056907893325504e-01 9.579055235195214901e-02 -1.239766228899851497e-01 1.683694657066462597e+00 8.105355797622837422e-02 4.468720698351622556e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -7.566124418836287502e-01 2.093651849038304369e-01 -7.026961688094898184e-01 1.256437661742343836e+00 -3.362840324346951237e-01 1.048668405232620282e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.420794543269093269e-01 1.161621726610256644e+00 5.450174766209371358e-01 2.641073121618654485e-01 -1.642891572148484247e+00 -7.777094436933389421e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -1.194225149935165486e+00 8.854105923790360766e-01 -1.037280283688076371e-01 -2.111361443107000024e+00 -2.901897865729548553e-01 -1.106151503413433934e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.103873705992764576e+00 3.199458519215913732e+00 -4.927717720644382571e-02 3.184300899315466893e+00 7.232708319764375560e+00 2.056539202101365760e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 3.667104495681201004e-01 3.127321437532601389e-01 1.191993985335852324e+00 -2.453923603204193338e-01 -4.865588816688654061e-01 -1.640111351030715481e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 2.557563947175242602e-01 -2.397731966037530693e-01 2.680742826402484624e-01 -2.173184339194003112e+00 1.764044114875782832e+00 2.907568187595323206e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 7.209977046294757663e-01 -8.306880651551519223e-01 1.084562658330274765e+00 -8.559256580734251330e-01 1.433040196841812053e+00 -1.047485487999108011e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -4.289330744026275538e-02 3.376703840907377963e-01 6.644533075364418562e-02 1.429809422705127786e-01 -2.167411341568514338e+00 -4.114728186941379873e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -3.607055983096021934e-02 -7.374885449843853191e-01 1.381866432728128258e-01 1.163165527048880765e+00 2.962533658701656858e+00 3.747401637672590491e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.169016792237913993e+00 1.598371273132520864e-01 -6.431480814971289872e-01 -1.270135098106786042e+00 -2.963105678458553549e-01 1.198046779587919275e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 8.357902092532053517e-01 -1.785463246316673080e+00 -1.881901568475459419e+00 -2.556510269432459292e-01 5.512421698565571626e-01 5.042302497895486679e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 6.090942174298591416e-01 2.432947759179617322e-02 2.565756380764064870e-01 -1.877958199717517929e-01 1.622991029528557394e-01 7.407808372613937653e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.334970602567034925e-01 1.426553110948841185e+00 1.072803541531947152e-01 3.362574847356991636e-01 -1.277037494245491622e+00 1.030466268561783666e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.526764010087314105e+00 -3.242329319890766559e-01 5.339571874012015718e-01 -1.478133884772451889e+00 5.145802795817172592e-01 -3.295462945143050049e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -5.075918915107808793e-01 -3.112342035592297607e-01 -7.744190262334956776e-01 1.043463220598147556e+00 8.673186857632130264e-01 3.054072692559390290e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.287543587828112068e+00 5.585198256049550558e-01 6.304319297802113420e-01 -9.276660514755338260e-01 -1.018460986852436356e+00 -6.136596800923976858e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 2.142492596652121606e-01 4.918079487738435396e-01 -9.144507571087456821e-02 1.335922953856719220e+00 -6.845776480452019364e-01 -1.096257228987922855e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.309831784762824913e-01 1.708058844541427423e-01 2.586706598975831509e-02 -1.662731826730497353e+00 -1.465519565934889079e-01 -3.846266384680703254e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 4.619361338238777703e-01 -1.110832936448313601e+00 -2.416721956666017856e+00 -9.659307564236188637e-02 2.757296931038967225e-01 7.442254727182745500e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 3.075214872622116236e-01 -5.011206750287574563e-01 1.366984322132408280e+00 9.916070104180841893e-01 4.647846508551986555e-01 2.263629774786054760e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 5.468677312562004733e-01 9.899030786787932357e-01 -7.757432258339742592e-01 -7.167751633572058134e-01 -1.115796376592136152e+00 1.206201233968675846e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -7.517594109482504949e-01 -3.909074244088509786e+00 2.700617917166869386e+00 -6.774551884759841824e-01 -5.529360189559080041e+00 7.526246475221604726e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -1.540972533611965734e+00 8.050352486472340807e-01 5.865058184884810455e-01 1.036431271306126334e+00 -4.114800761596296153e-01 -4.435920775443661923e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 7.409861094461387410e-01 6.426477110039606755e-01 -2.424593089602881779e+00 -2.229971925318999237e-01 -1.966331957201931102e-01 7.602553999840574450e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.118307609876870945e+00 -1.035296858559318522e+00 -1.094388830570643067e+00 2.366029078757801329e+00 -4.315076479888473870e-01 -2.785090461940887163e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -1.343071396917130045e+01 -5.252016527491663034e+00 3.395600082469570680e+00 -2.096609911229707279e+01 -9.029618880013742910e+00 4.008399947957267173e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
