# Total Kinetic Energy: 143931.20168447756 J
# Total Potential Energy: -778.3949745593804 J
# Total Energy: 143152.8067099182 J
# mass x y z vx vy vz ax ay az
2.000000000000000111e-01 -2.543394831379916510e-01 1.054246675134417888e-01 4.209571450586315766e-01 3.192911020024466584e+00 -3.327467519581245092e+00 8.979994633840304274e+00 -8.966043962736165440e-01 6.963139999641968503e-01 -4.318718804335897610e-01
2.000000000000000111e-01 4.206739047734358028e-01 2.273895821191533440e+00 5.522962694848833065e-01 1.146265799340207669e+00 7.431125122420596085e+00 3.005910628287120634e+00 -8.638420432590800946e-01 7.477608111009810266e-01 -8.297878829518955390e-01
2.000000000000000111e-01 -4.207932650097415128e-01 5.292131000386832707e-01 2.174023593313239466e+00 -1.853036178655131039e+00 1.845559222134158128e+00 1.061795753128999209e+01 9.641895495286434414e-01 -7.350472763951455546e-01 1.373103499606344924e+00
2.000000000000000111e-01 1.729679789305331727e-01 -1.849271002803524189e-01 2.251795311516521458e+00 2.640692034036228986e+00 1.529360396667726940e+00 5.219481117400698089e+00 -5.460842563394595617e-01 -1.562379614909943371e+00 1.380396280783603880e+00
2.000000000000000111e-01 3.777628668957710989e-01 8.456604670213341279e-01 -2.809822622160217942e-01 2.824461702013044029e+00 3.586266616089200276e+00 2.781162171736673905e+00 8.297013594807493009e-01 2.265106253250432911e+00 9.937754100366300372e-03
2.000000000000000111e-01 -4.577295856198102975e+00 -1.141059060322287166e+01 3.024908873198339343e+00 -1.084337854687452918e+01 -2.232066137763763791e+01 7.572651406182421496e+00 5.503421260199654018e-03 -6.324108284545006953e-01 -1.983938834140225038e-01
2.000000000000000111e-01 -1.238427545824282383e+00 -1.210254330221341323e+00 -1.076423110747858791e+00 -4.523893950089028504e-01 4.412906697554606628e-01 -9.174356642807608431e-01 1.185290918075305733e+00 1.180817650969794297e+00 4.342061600991873882e-01
2.000000000000000111e-01 1.327569520565691663e+00 1.334428083523992337e+00 1.808466753537935512e+00 1.681667818294266148e+00 5.982125179995286146e+00 5.914247287087507132e+00 6.301270386930696299e-01 -1.153803380428851000e+00 -5.839674396223903247e-02
2.000000000000000111e-01 1.770560690853371533e+00 -1.042709470564153751e+00 2.826645676012598862e+00 1.222594512931695077e+00 -2.629343102374024355e-01 9.101455501112877045e+00 4.819874889720659472e-01 6.233897045599963160e-01 7.806367264006173201e-01
2.000000000000000111e-01 -1.394087188635713570e+00 -2.666420696355073616e+00 -3.208385716710997038e+00 -3.952533742627783564e+00 -5.648319231541806040e+00 -7.922968721621447941e+00 -5.073469463042808991e-01 -1.432177634536540234e+00 -5.631686098712457289e-01
